,,,,,,ProStream OUT,,,BB IN (163),,,,,,,,BB OUT (162),,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,SD720х576/ HD1920х1080,HIGH,SD640х480,MED,SD320х240/ HD1280х720,LOW,,,,,,,,
#,Канал,,фронтенд,вещает,записывается,Multicast address,port,SRC address,Multicast address,port,SRC address,source IN,визуальное качество IN,визуальное качество OUT,Res,AR,Multicast address,Port,Multicast address,Port,Multicast address,Port,SRC address,TS Port,url,,,,,Новый домен
channel_num,channel_name_ru,refname,,stream_fe,dvr_fe,prostream_mc_address,prostream_mc_port,prostream_mc_src_address,mc_in_address,mc_in_port,,,,,resolution,aspect_ratio,mc_1_out_address,mc_1_out_port,mc_2_out_address,mc_2_out_port,mc_3_out_address,mc_3_out_port,mc_out_src_address,ts_port,,,,,,
1,Первый канал,pervyj,fe01,sfe1,sfe1,,,,239.255.51.1,1234,,,,удовлетворительно,720x576,16:9,228.8.10.1,10001,228.8.9.1,9001,228.8.8.1,8001,,17001,http://sfe1.rt.bradburylab.tv/live/_definst_/smil:pervyj_sd.smil/playlist.m3u8,http://sfe1.rt.bradburylab.tv/live/%02d_%02d_pervyj_576p/playlist.m3u8?DVR&start=%d&duration=%d,228.8.8.1:8001,228.8.9.1:9001,228.8.10.1:10001,sfe1
2,Россия 1,rossia1,fe01,sfe1,sfe1,,,,239.255.51.2,1234,,,,удовлетворительно,720x576,4:3,228.8.10.2,10002,228.8.9.2,9002,228.8.8.2,8002,,17002,http://sfe1.rt.bradburylab.tv/live/_definst_/smil:rossia1_sd.smil/playlist.m3u8,http://sfe1.rt.bradburylab.tv/live/%02d_%02d_rossia1_576p/playlist.m3u8?DVR&start=%d&duration=%d,228.8.8.2:8002,228.8.9.2:9002,228.8.10.2:10002,sfe1
3,НТВ,ntv,fe01,sfe1,sfe1,,,,239.255.51.4,1234,,,,удовлетворительно,720x576,4:3,228.8.10.3,10003,228.8.9.3,9003,228.8.8.3,8003,,17003,http://sfe1.rt.bradburylab.tv/live/_definst_/smil:ntv_sd.smil/playlist.m3u8,http://sfe1.rt.bradburylab.tv/live/%02d_%02d_ntv_576p/playlist.m3u8?DVR&start=%d&duration=%d,228.8.8.3:8003,228.8.9.3:9003,228.8.10.3:10003,sfe1
4,Россия 24,rossia24,fe01,sfe1,sfe1,,,,239.255.50.15,1234,,,,удовлетворительно,720x576,4:3,228.8.10.4,10004,228.8.9.4,9004,228.8.8.4,8004,,17004,http://sfe1.rt.bradburylab.tv/live/_definst_/smil:rossia24_sd.smil/playlist.m3u8,http://sfe1.rt.bradburylab.tv/live/%02d_%02d_rossia24_576p/playlist.m3u8?DVR&start=%d&duration=%d,228.8.8.4:8004,228.8.9.4:9004,228.8.10.4:10004,sfe1
5,5 канал Петербург,peterburg5,fe01,sfe1,sfe1,,,,239.255.51.28,1234,,,,удовлетворительно,720x576,4:3,228.8.10.5,10005,228.8.9.5,9005,228.8.8.5,8005,,17005,http://sfe1.rt.bradburylab.tv/live/_definst_/smil:peterburg5_sd.smil/playlist.m3u8,http://sfe1.rt.bradburylab.tv/live/%02d_%02d_peterburg5_576p/playlist.m3u8?DVR&start=%d&duration=%d,228.8.8.5:8005,228.8.9.5:9005,228.8.10.5:10005,sfe1
6,Россия К,rossijak,fe01,sfe1,sfe1,,,,239.255.51.5,1234,,,,удовлетворительно,720x576,4:3,228.8.10.6,10006,228.8.9.6,9006,228.8.8.6,8006,,17006,http://sfe1.rt.bradburylab.tv/live/_definst_/smil:rossijak_sd.smil/playlist.m3u8,http://sfe1.rt.bradburylab.tv/live/%02d_%02d_rossijak_576p/playlist.m3u8?DVR&start=%d&duration=%d,228.8.8.6:8006,228.8.9.6:9006,228.8.10.6:10006,sfe1
